 , Total, 15 a 19 años, 20 a 29 años, 30 a 39 años, 40 a 49 años, 50 a 59 años, 60 años y más, No especificado
,,,,,,,,
 Cuarto trimestre del 2024, 59487546|0.440702676030361|262163.207126792|, 3122540|1.79026373522266|55901.7012378216|, 12523264|0.94043878469175|117773.631765339|, 13889136|0.878806653173317|122058.65123629|, 12947155|0.896309692556786|116046.605175351|, 10636896|0.910740378453797|96874.5068861368|, 6339090|1.24879695580088|79162.3629454782|, 29465|14.4849148293776|4267.98015447611|
,,,,,,,,
 Tercer trimestre del 2024, 59528249|0.472733012217966|281409.684618311|, 3227306|1.80741115616797|58330.6886876781|, 12552295|0.950147114573134|119265.268755208|, 13837893|0.890502778291283|123226.821621975|, 12830772|0.90239164168582|115783.814091765|, 10636364|0.930150889568007|98934.2343636913|, 6406768|1.29476075852083|82952.3179534696|, 36851|14.7715604124427|5443.46772758926|
,,,,,,,,
 Segundo trimestre del 2024, 59327161|0.525979388798933|312048.638819559|, 3160936|1.91261961236658|60456.6818703557|, 12765509|0.993578658510278|126835.373074209|, 13698350|0.920355549954029|126073.524477128|, 12836391|0.975776621967198|125254.502482301|, 10544361|0.944580240726989|99599.9505169227|, 6287231|1.27027947544327|79865.4049667066|, 34383|14.1598337371276|4868.57563383659|
,,,,,,,,
 Primer trimestre del 2024, 59120905|0.465113249577839|274979.162425327|, 3097245|1.83131708152893|56720.3767418008|, 12814108|0.959308805599678|122926.866403053|, 13521964|0.858846376906973|116132.897900665|, 12715532|0.928746776517841|118095.093567095|, 10627634|0.930522274602721|98892.5016332521|, 6317721|1.22363278120969|77305.7051813684|, 26701|13.8470305678921|3697.29563193287|
,,,,,,,,
 Cuarto trimestre del 2023, 59403947|0.457790390642339|271945.561028268|, 3125616|1.72590012107878|53945.0103284579|, 12851170|0.937184979316705|120439.234906455|, 13696849|0.86814101219917|118907.963547992|, 12828342|0.905825897863099|116202.444102449|, 10448286|0.962239287684641|100537.512781654|, 6412821|1.1993038452634|76909.2088428587|, 40863|21.5321523537166|8798.6834162992|
,,,,,,,,
 Tercer trimestre del 2023, 59167472|0.44569959016734|263709.180216376|, 3260249|1.68380774351157|54896.3251197586|, 12720781|0.912643848169706|116095.425235641|, 13624418|0.859245334604123|117067.176031964|, 12699831|0.881706857979114|111975.280878757|, 10382519|0.921667636866962|95692.3175145633|, 6438578|1.1831664321456|76179.0936035115|, 41096|15.3409598537597|6304.52086150109|
,,,,,,,,
 Segundo trimestre del 2023, 58521990|0.448227878391932|262311.874169738|, 3200576|1.73318242856368|55471.8208448263|, 12758095|0.926147244870442|118158.745340454|, 13425354|0.864987362192096|116127.615429551|, 12699638|0.859298832493171|109127.841064859|, 10239572|0.930706592438147|95300.3716414506|, 6164837|1.23451246022121|76105.6809173271|, 33918|17.0431982283254|5780.71197508341|
,,,,,,,,
 Primer trimestre del 2023, 58492126|0.444616669533134|260065.742560324|, 3147147|1.76807076338801|55643.7859878428|, 12782349|0.899817813703416|115017.85331174|, 13454441|0.855956289221172|115164.133919052|, 12882298|0.837146197620829|107843.667873184|, 10170051|0.913387276842292|92891.9518823723|, 6020654|1.14609086084202|69002.1652569197|, 35186|14.4229284641948|5074.85160941159|
,,,,,,,,
 Cuarto trimestre del 2022, 58349353|0.450576482008616|262908.462022189|, 3247593|1.69284034446457|54976.5645280072|, 12835781|0.933856851914698|119867.820365265|, 13294901|0.861845123612257|114581.455957577|, 12936348|0.918263098484865|118789.709975585|, 10038156|0.967601655739315|97129.3636616954|, 5957943|1.21229897637957|72228.0820022784|, 38631|15.4994931540135|5987.60920032696|
,,,,,,,,
 Tercer trimestre del 2022, 57440441|0.450129662135987|258556.463002721|, 3245816|1.71172336900629|55559.3909869452|, 12703584|0.905689006315722|115054.963696083|, 13077963|0.846941364157191|110762.678236173|, 12739695|0.90239735583658|114962.670821645|, 9858275|0.938086269388532|92479.1241735623|, 5773466|1.25030203297845|72185.7627713198|, 41642|15.6411831214586|6513.3014754378|
,,,,,,,,
