 , Total, Hombre, Mujer
,,,
 Cuarto trimestre del 2024, 59487546|0.440702676030361|262163.207126792|, 34924786|0.497269244763159|173670.21957735|, 24562760|0.626016548095828|153766.942269063|
,,,
 Tercer trimestre del 2024, 59528249|0.472733012217966|281409.684618311|, 35255385|0.537161778857042|189378.453208899|, 24272864|0.6410227615938|155594.583130707|
,,,
 Segundo trimestre del 2024, 59327161|0.525979388798933|312048.638819559|, 35048053|0.574003312312167|201176.985120924|, 24279108|0.692378741722622|168103.382471877|
,,,
 Primer trimestre del 2024, 59120905|0.465113249577839|274979.162425327|, 35071556|0.519038019628306|182034.709715232|, 24049349|0.657499856516689|158124.435168198|
,,,
 Cuarto trimestre del 2023, 59403947|0.457790390642339|271945.561028268|, 35162467|0.511435011382161|179833.167103698|, 24241480|0.640513436899284|155269.936703252|
,,,
 Tercer trimestre del 2023, 59167472|0.44569959016734|263709.180216376|, 35149210|0.496191667910786|174407.451356465|, 24018262|0.637165490183945|153036.076805964|
,,,
 Segundo trimestre del 2023, 58521990|0.448227878391932|262311.874169738|, 34716585|0.497904680432064|172855.501601176|, 23805405|0.638651652219628|152033.612350074|
,,,
 Primer trimestre del 2023, 58492126|0.444616669533134|260065.742560324|, 34886554|0.489423072892389|170742.844613063|, 23605572|0.623572260722148|147197.798976794|
,,,
 Cuarto trimestre del 2022, 58349353|0.450576482008616|262908.462022189|, 34695540|0.499254160903778|173218.927098035|, 23653813|0.632595145888599|149632.872855566|
,,,
 Tercer trimestre del 2022, 57440441|0.450129662135987|258556.463002721|, 34632039|0.507232555268152|175664.976361163|, 22808402|0.637027610106562|145295.818164097|
,,,
 Segundo trimestre del 2022, 57420677|0.469635186067841|269667.703270364|, 34528782|0.526295996759197|181723.59739571|, 22891895|0.650835527291706|148988.585530314|
,,,
 Primer trimestre del 2022, 56079123|0.489481196619628|274496.762314193|, 33997934|0.547319730587927|186077.400774261|, 22081189|0.672620562432608|148522.617643607|
,,,
 Cuarto trimestre del 2021, 56611211|0.461236516178675|261111.577382959|, 34289260|0.515166120249833|176646.650404378|, 22321951|0.64370020903583|143686.445247875|
,,,
 Tercer trimestre del 2021, 55836230|0.479332539342812|267641.219132293|, 34000830|0.525805185406516|178778.127221254|, 21835400|0.65986907933888|144085.052949962|
,,,
 Segundo trimestre del 2021, 55242748|0.507364850896798|280282.286021494|, 33577390|0.581082635983101|195112.382906326|, 21665358|0.771489632991626|167145.990920522|
,,,
 Primer trimestre del 2021, 52973270|0.551899886205628|292359.4168494|, 32671161|0.625243916457372|204274.446588494|, 20302109|0.848809732470499|172326.277088769|
,,,
 Cuarto trimestre del 2020, 53124071|0.570465807250438|303054.660474446|, 32457256|0.656229519485431|212994.095086956|, 20666815|0.858257261993114|177374.440560182|
,,,
 Tercer trimestre del 2020, 50810713|0.676875545932532|343925.291010962|, 31620116|0.764333228021662|241683.053326994|, 19190597|1.10061399136537|211214.395608543|
,,,
 Primer trimestre del 2020, 55058450|0.457541299528807|251915.147630419|, 33275583|0.503857963782402|167661.674940523|, 21782867|0.658311918730007|143399.209702106|
,,,
 Cuarto trimestre del 2019, 55345261|0.457361119471787|253127.705284182|, 33443544|0.513167387115956|171621.360903775|, 21901717|0.630117490456596|138006.549527306|
,,,
 Tercer trimestre del 2019, 54848407|0.454051074150386|249039.781137876|, 33406629|0.5073461194527|169487.23587146|, 21441778|0.640396417013085|137312.3780559|
,,,
 Segundo trimestre del 2019, 54549769|0.448127190000236|244452.34697132|, 33212325|0.499728286978236|165971.382788144|, 21337444|0.642686583277835|137132.889802421|
,,,
 Primer trimestre del 2019, 53714758|0.438505278144085|235542.048972322|, 33001309|0.493974120338609|163017.925832976|, 20713449|0.639657289466302|132495.086428385|
,,,
 Cuarto trimestre del 2018, 53705872|0.445982027554189|239518.536861258|, 32968302|0.496852789537986|163803.928150308|, 20737570|0.648732404439024|134531.336483226|
,,,
 Tercer trimestre del 2018, 53483093|0.453001555282278|242279.243103067|, 33072893|0.49325576234747|163133.950497513|, 20410200|0.653689696302595|133419.374394752|
,,,
 Segundo trimestre del 2018, 53205163|0.446727176829392|237681.922597376|, 32747522|0.48761089553816|159680.485290756|, 20457641|0.654116422455369|133816.789427963|
,,,
 Primer trimestre del 2018, 52253036|0.441639654858486|230770.127843481|, 32376942|0.488457286284923|158147.532275243|, 19876094|0.658556945737127|130895.39757824|
,,,
 Cuarto trimestre del 2017, 52222742|0.442264813773004|230962.812653457|, 32261980|0.485672280220874|156687.493910402|, 19960762|0.658573133667699|131456.215807351|
,,,
 Tercer trimestre del 2017, 51796924|0.432620508487366|224084.115989615|, 32145275|0.480799516191275|154554.326678355|, 19651649|0.646558413987722|127059.390096834|
,,,
 Segundo trimestre del 2017, 51529417|0.410550626374514|211554.344260635|, 31896282|0.459640224312865|146608.142132264|, 19633135|0.629571625857062|123604.647226212|
,,,
 Primer trimestre del 2017, 51172034|0.432264093386669|221198.328837618|, 31684007|0.469183666718856|148656.185806059|, 19488027|0.652882056166916|127233.831383964|
,,,
 Cuarto trimestre del 2016, 51414185|0.427984514705291|220044.750161931|, 31757891|0.468083664195104|148653.499863887|, 19656294|0.642927158525548|126375.652485628|
,,,
