Indicator,Geographic area,2023/01,2023/02,2023/03,2023/04,2024/01,2024/02,2024/03,2024/04
Employed population in informal sector 15 yrs and up,00 Estados Unidos Mexicanos,16506302,16535606,16707970,16789898,16459370,16691011,16730767,17020710
Employed population in informal sector 15 yrs and up,01 Aguascalientes,128351,131325,136125,126344,127771,134214,137393,153072
Employed population in informal sector 15 yrs and up,02 Baja California,333103,329676,338955,364927,327536,314600,327759,333045
Employed population in informal sector 15 yrs and up,03 Baja California Sur,78518,82645,85367,84856,83925,82665,81402,80958
Employed population in informal sector 15 yrs and up,04 Campeche,121152,121715,113400,116863,120117,119864,122121,124696
Employed population in informal sector 15 yrs and up,05 Coahuila de Zaragoza,301501,324164,297695,345969,303189,324109,321302,337780
Employed population in informal sector 15 yrs and up,06 Colima,68345,66017,70410,76440,67973,63857,65227,64235
Employed population in informal sector 15 yrs and up,07 Chiapas,588132,560641,547467,623905,595765,595687,576612,643478
Employed population in informal sector 15 yrs and up,08 Chihuahua,269636,281844,283504,277647,269198,271608,290392,272004
Employed population in informal sector 15 yrs and up,09 Ciudad de México,1379588,1375766,1400268,1326253,1323855,1318207,1310539,1352472
Employed population in informal sector 15 yrs and up,10 Durango,180818,197986,186191,195549,195761,201473,206453,209165
Employed population in informal sector 15 yrs and up,11 Guanajuato,777593,681978,700107,700103,748012,749241,766225,850273
Employed population in informal sector 15 yrs and up,12 Guerrero,568502,582679,571585,631313,661348,610142,549120,558617
Employed population in informal sector 15 yrs and up,13 Hidalgo,556832,555637,566519,539644,510733,524347,488004,522932
Employed population in informal sector 15 yrs and up,14 Jalisco,949185,978588,983522,931371,980774,990617,948745,921209
Employed population in informal sector 15 yrs and up,15 México,2809188,2753275,2821937,2750263,2697247,2713359,2820950,2833864
Employed population in informal sector 15 yrs and up,16 Michoacán de Ocampo,682057,726687,690696,672071,696337,756617,770558,808537
Employed population in informal sector 15 yrs and up,17 Morelos,301841,298601,312967,310932,314772,316919,321599,292255
Employed population in informal sector 15 yrs and up,18 Nayarit,157008,155496,160658,169478,172297,174791,166694,176179
Employed population in informal sector 15 yrs and up,19 Nuevo León,602054,580987,637376,652205,624225,604630,583586,590806
Employed population in informal sector 15 yrs and up,20 Oaxaca,759021,703700,766598,747667,710698,743725,714502,690228
Employed population in informal sector 15 yrs and up,21 Puebla,965073,985499,1027848,1044548,985480,1005324,1016000,1025180
Employed population in informal sector 15 yrs and up,22 Querétaro,243008,233764,268213,281884,263563,271400,281363,261468
Employed population in informal sector 15 yrs and up,23 Quintana Roo,214386,208120,202433,215122,217450,202352,221157,223519
Employed population in informal sector 15 yrs and up,24 San Luis Potosí,334332,331264,353423,342737,338867,347161,329487,345714
Employed population in informal sector 15 yrs and up,25 Sinaloa,306599,338534,322253,344632,328221,351636,347694,309560
Employed population in informal sector 15 yrs and up,26 Sonora,279747,303618,301222,286524,287641,307178,270109,291552
Employed population in informal sector 15 yrs and up,27 Tabasco,339610,341079,346693,345954,338430,343287,333900,406813
Employed population in informal sector 15 yrs and up,28 Tamaulipas,371292,373738,375288,358987,339652,348605,371503,389271
Employed population in informal sector 15 yrs and up,29 Tlaxcala,262273,267196,260376,266685,261669,262918,273041,283016
Employed population in informal sector 15 yrs and up,30 Veracruz de Ignacio de la Llave,1015632,1079073,1024457,1094585,1005831,1058083,1141697,1111975
Employed population in informal sector 15 yrs and up,31 Yucatán,394110,406409,387206,405748,397015,405784,412738,405950
Employed population in informal sector 15 yrs and up,32 Zacatecas,167815,177905,167211,158692,164018,176611,162895,150887
Employed population-15 years and over,00 Estados Unidos Mexicanos,58492126,58521990,59167472,59403947,59120905,59327161,59528249,59487546
Employed population-15 years and over,01 Aguascalientes,646638,637605,666006,639136,664041,653142,660320,663122
Employed population-15 years and over,02 Baja California,1792493,1803781,1811984,1815261,1779789,1794675,1772563,1771133
Employed population-15 years and over,03 Baja California Sur,434900,456252,460314,459505,450552,455998,468780,455578
Employed population-15 years and over,04 Campeche,431435,432941,435089,441594,447031,439683,435382,437873
Employed population-15 years and over,05 Coahuila de Zaragoza,1462176,1500351,1467661,1518644,1467358,1509048,1509945,1546401
Employed population-15 years and over,06 Colima,383021,370246,379041,372911,376325,368539,375094,359965
Employed population-15 years and over,07 Chiapas,2144746,2145825,2166910,2204223,2217149,2200429,2186113,2226371
Employed population-15 years and over,08 Chihuahua,1744278,1806446,1811593,1822136,1773276,1792597,1809545,1843137
Employed population-15 years and over,09 Ciudad de México,4693298,4709095,4712506,4657701,4715069,4834239,4894634,5010045
Employed population-15 years and over,10 Durango,805231,823286,819099,829489,815085,829692,845608,853358
Employed population-15 years and over,11 Guanajuato,2852329,2757893,2810301,2803384,2797205,2834484,2810561,2834126
Employed population-15 years and over,12 Guerrero,1557366,1596344,1647106,1644342,1617268,1576165,1550699,1565288
Employed population-15 years and over,13 Hidalgo,1486384,1453844,1490249,1441000,1436013,1447265,1457027,1467580
Employed population-15 years and over,14 Jalisco,4107726,4077856,3996628,4008090,4034455,3971211,3910904,3894860
Employed population-15 years and over,15 México,7827022,7814544,8003424,8191240,8024889,8163741,8108180,8142207
Employed population-15 years and over,16 Michoacán de Ocampo,2152972,2176263,2230897,2225476,2267530,2248664,2191694,2219125
Employed population-15 years and over,17 Morelos,877664,870630,863509,893457,887869,873166,888038,860319
Employed population-15 years and over,18 Nayarit,610044,615368,620069,639206,641297,632692,619565,621320
Employed population-15 years and over,19 Nuevo León,2810507,2798776,2866243,2885949,2899132,2934325,2899904,2945295
Employed population-15 years and over,20 Oaxaca,1890453,1814054,1943177,1893143,1844007,1863514,1921567,1759794
Employed population-15 years and over,21 Puebla,3011036,3001762,3045740,2954370,2965064,2983669,3090453,3021287
Employed population-15 years and over,22 Querétaro,1103697,1106995,1149258,1145495,1149596,1156480,1191137,1213963
Employed population-15 years and over,23 Quintana Roo,971597,970935,952949,969918,959122,959170,977122,975349
Employed population-15 years and over,24 San Luis Potosí,1280309,1281637,1313428,1309723,1307582,1309248,1307492,1277198
Employed population-15 years and over,25 Sinaloa,1454429,1439375,1448761,1465379,1454239,1469502,1412481,1448582
Employed population-15 years and over,26 Sonora,1422827,1470217,1420757,1429930,1404536,1428133,1390489,1406119
Employed population-15 years and over,27 Tabasco,1050929,1030881,1071733,1083549,1080044,1063245,1065022,1103166
Employed population-15 years and over,28 Tamaulipas,1622127,1648370,1628296,1656603,1616433,1611912,1658004,1628370
Employed population-15 years and over,29 Tlaxcala,629557,647938,644499,649086,650290,668943,670314,671212
Employed population-15 years and over,30 Veracruz de Ignacio de la Llave,3395413,3378056,3406318,3486916,3512273,3371341,3534206,3393102
Employed population-15 years and over,31 Yucatán,1193852,1206186,1189852,1207044,1197459,1208470,1225873,1210020
Employed population-15 years and over,32 Zacatecas,645670,678238,694075,660047,668927,673779,689533,662281
 Unemployed population-15 years and over,00 Estados Unidos Mexicanos,1597182,1694442,1825196,1639021,1542215,1626449,1842085,1567775
 Unemployed population-15 years and over,01 Aguascalientes,20134,21064,21856,23221,20540,22708,29198,15365
 Unemployed population-15 years and over,02 Baja California,31226,42604,45297,41696,38654,50516,49624,44652
 Unemployed population-15 years and over,03 Baja California Sur,12341,12664,15149,10641,10233,11277,12121,8771
 Unemployed population-15 years and over,04 Campeche,7740,7752,8062,7706,7096,8963,8663,8469
 Unemployed population-15 years and over,05 Coahuila de Zaragoza,55050,57690,59203,68894,63804,58210,65356,56123
 Unemployed population-15 years and over,06 Colima,8355,8354,9957,8792,8095,7949,8986,8226
 Unemployed population-15 years and over,07 Chiapas,54723,40204,55078,38913,38288,35205,43929,63184
 Unemployed population-15 years and over,08 Chihuahua,49959,45911,52473,35856,40601,46618,48774,39945
 Unemployed population-15 years and over,09 Ciudad de México,182985,215168,199757,189478,194968,203534,202068,208164
 Unemployed population-15 years and over,10 Durango,24796,24344,26177,24074,25607,24010,28809,26956
 Unemployed population-15 years and over,11 Guanajuato,85070,97308,92153,88544,90607,85214,97443,66680
 Unemployed population-15 years and over,12 Guerrero,28501,15296,19159,12706,19145,16607,20698,20493
