 , Total, Hombre, Mujer
,,,
 Cuarto trimestre del 2024, 1567775|2.46168174353826|38593.6309547569|, 942762|3.15574642904379|29751.1781493818|, 625013|3.70345083222481|23147.0491500132|
,,,
 Tercer trimestre del 2024, 1842085|2.34376966118831|43174.2293633007|, 1079573|3.0972633374874|33437.2187304129|, 762512|3.33645427998012|25440.864259362|
,,,
 Segundo trimestre del 2024, 1626449|2.3566018454076|38328.9271486134|, 969575|2.95150396708343|28617.0445888491|, 656874|3.63405163268962|23871.1403217136|
,,,
 Primer trimestre del 2024, 1542215|2.52584508021401|38953.9617038224|, 874249|3.24951839779355|28408.8820975262|, 667966|3.63973117324022|24312.1667286457|
,,,
 Cuarto trimestre del 2023, 1639021|2.47761264180856|40608.5914978971|, 964361|3.08517424004234|29752.2171530147|, 674660|3.76128196422241|25375.8648998229|
,,,
 Tercer trimestre del 2023, 1825196|2.34337281875468|42771.1469529977|, 1080392|3.03102028614394|32746.9006898762|, 744804|3.59148233154401|26749.504064633|
,,,
 Segundo trimestre del 2023, 1694442|2.38022894351238|40331.5989150301|, 999950|2.98713297585759|29869.836192088|, 694492|3.65373950681142|25374.9285756447|
,,,
 Primer trimestre del 2023, 1597182|2.39277300183923|38216.9396862358|, 937365|2.92577604172723|27425.2005935365|, 659817|3.6535064080826|24106.4563766184|
,,,
 Cuarto trimestre del 2022, 1796103|2.38037311665023|42753.9529593482|, 1050100|3.10028112887039|32556.052134268|, 746003|3.62850431644194|27068.7510557864|
,,,
 Tercer trimestre del 2022, 2040030|2.25476702660955|45997.9237729427|, 1189389|2.97845846233352|35425.4573205641|, 850641|3.4598311216163|29430.7420512281|
,,,
 Segundo trimestre del 2022, 1917742|2.24096816967521|42975.9877964927|, 1150512|2.84305683151701|32709.710013423|, 767230|3.46821426494957|26609.1803049726|
,,,
 Primer trimestre del 2022, 2006191|2.34697054727101|47084.7118920017|, 1223642|3.01026049812009|36834.8117644066|, 782549|3.30548049614819|25867.0045678027|
,,,
 Cuarto trimestre del 2021, 2150582|2.26608835509058|48734.0882686742|, 1266430|2.71736340858231|34413.505415309|, 884152|3.56986799136705|31563.0592430316|
,,,
 Tercer trimestre del 2021, 2471216|2.07923333294324|51382.3468010265|, 1461860|2.62357582980583|38353.0056255995|, 1009356|2.98608963584565|30140.2749047862|
,,,
 Segundo trimestre del 2021, 2425506|2.47938903849071|60137.7298919344|, 1480051|3.23094286752166|47819.6022201831|, 945455|3.79976910620164|35925.1070030387|
,,,
 Primer trimestre del 2021, 2411863|2.46223388406859|59385.7080233131|, 1517983|3.21369631293618|48783.3637019981|, 893880|3.63510697259628|32493.4942066436|
,,,
 Cuarto trimestre del 2020, 2529369|2.84547439112284|71972.5471519999|, 1604188|3.73721596152112|59951.9699888065|, 925181|3.89400300509933|36026.575942608|
,,,
 Tercer trimestre del 2020, 2761078|2.53020485337976|69860.9295616007|, 1785698|3.14977865915873|56245.5345210243|, 975380|3.66808424674932|35777.7601259435|
,,,
 Primer trimestre del 2020, 1956517|3.08125146991126|60285.2088215638|, 1180108|3.46843717596548|40931.3045885427|, 776409|4.48974359504074|34858.7733488198|
,,,
 Cuarto trimestre del 2019, 1932597|2.38331795110174|46059.9312234536|, 1168616|2.67092194948598|31212.8212492051|, 763981|4.29703326492599|32828.5177077142|
,,,
 Tercer trimestre del 2019, 2127668|2.22492804285835|47339.0819909235|, 1297228|2.93578063003972|38083.7683514516|, 830440|2.99817715941204|24898.0624026214|
,,,
 Segundo trimestre del 2019, 1997895|2.26341741065342|45220.7032765741|, 1207652|3.03230650370494|36619.7101381228|, 790243|3.13032361774373|24737.1632665666|
,,,
 Primer trimestre del 2019, 1863594|2.35808755028958|43945.1781019435|, 1113637|2.79525458888296|31128.9893459985|, 749957|3.61578216943323|27116.8114844164|
,,,
 Cuarto trimestre del 2018, 1813522|2.30144363436251|41737.1866267636|, 1075247|2.72550658885194|29305.9278314328|, 738275|3.76444777198841|27791.9767886474|
,,,
 Tercer trimestre del 2018, 1907532|2.18236084486505|41629.2314712711|, 1109744|2.66021780641582|29521.6074936311|, 797788|3.31454413030964|26443.0353263146|
,,,
 Segundo trimestre del 2018, 1834230|2.41518079674715|44299.9707281753|, 1137590|2.85971246476326|32531.8030279004|, 696640|3.89834072154105|27157.4008025436|
,,,
 Primer trimestre del 2018, 1683631|2.24282449751185|37760.8885157038|, 1024087|2.79058343769092|28578.0022095458|, 659544|3.52758231070114|23265.9574752907|
,,,
 Cuarto trimestre del 2017, 1809658|2.3081904822507|41770.3537172883|, 1075863|2.7438962284943|29520.5642807656|, 733795|3.64257707828544|26729.0484716047|
,,,
 Tercer trimestre del 2017, 1905789|2.08165667736553|39671.9839749978|, 1140171|2.55948825893162|29182.5428767432|, 765618|3.28277935502971|25133.5496423914|
,,,
 Segundo trimestre del 2017, 1848286|2.31635701460598|42812.9024109803|, 1103576|2.66691659086224|29431.4514367738|, 744710|3.584064408058|26690.8860532487|
,,,
 Primer trimestre del 2017, 1795510|2.1391912429269|38409.3926858768|, 1081336|2.58667121846552|27970.6070869063|, 714174|3.33534257235032|23820.1494626572|
,,,
 Cuarto trimestre del 2016, 1881990|2.06022534480634|38773.2349667209|, 1156381|2.61821415160598|30276.5309884828|, 725609|3.03298450318441|22007.6085237114|
,,,
 Tercer trimestre del 2016, 2145512|2.05140408583763|44013.1208301366|, 1283816|2.57878176071244|33106.812849108|, 861696|3.07876461860213|26529.5915679098|
,,,
 Segundo trimestre del 2016, 2069571|1.99903469287517|41371.4422836837|, 1272416|2.54099681920218|32332.0500870196|, 797155|3.04695843047029|24288.9814764155|
,,,
 Primer trimestre del 2016, 2112148|2.01818114108729|42626.9726078523|, 1310338|2.47036995325839|32370.1962381269|, 801810|3.08444893739887|24731.4200249579|
,,,
 Cuarto trimestre del 2015, 2203551|2.02745065281362|44675.909134581|, 1317182|2.51671605752263|33149.7309007978|, 886369|3.06154419772975|27136.5786899752|
,,,
 Tercer trimestre del 2015, 2404478|1.84635014608401|44395.0830655579|, 1440947|2.25851187702137|32543.9591365831|, 963531|2.79200773942403|26901.8600917497|
,,,
 Segundo trimestre del 2015, 2252239|1.90127049946507|42821.1556844471|, 1352270|2.3184613837462|31351.8577539847|, 899969|3.01401229600386|27125.176320223|
,,,
 Primer trimestre del 2015, 2168178|2.0108113606807|43597.9695437796|, 1364950|2.50444881195033|34184.474058716|, 803228|3.01690052364372|24232.589738053|
,,,
 Cuarto trimestre del 2014, 2250882|1.91437010886719|43090.2121938719|, 1370632|2.38708984550633|32718.2172912603|, 880250|2.89169732730108|25454.1657235677|
,,,
 Tercer trimestre del 2014, 2699998|1.71981307605024|46434.9186570951|, 1681329|2.18172310258062|36681.9432233878|, 1018669|2.58591304387582|26341.8945449194|
,,,
 Segundo trimestre del 2014, 2499511|1.80857658641904|45205.5707209684|, 1562016|2.27306504102619|35505.6396312356|, 937495|2.78876678752381|26144.5491946963|
,,,
 Primer trimestre del 2014, 2443010|1.77896567585468|43460.3093576973|, 1499212|2.19451684367189|32900.4598623503|, 943798|2.75309208173139|25983.6280055392|
,,,
 Cuarto trimestre del 2013, 2388252|1.86980691668688|44655.7010839128|, 1456391|2.39461683249366|34874.9840329228|, 931861|2.70079557612584|25167.660663642|
,,,
 Tercer trimestre del 2013, 2683554|1.84665845273768|49556.0767747802|, 1623647|2.35953030830016|38310.4430648063|, 1059907|2.66508680960435|28247.4416510732|
,,,
 Segundo trimestre del 2013, 2559478|1.82860368294805|46802.7089722451|, 1578052|2.24081431695344|35361.21514497|, 981426|2.85219406946322|27992.1741681701|
,,,
 Primer trimestre del 2013, 2454027|1.88517102164906|46262.6058674439|, 1529781|2.3178644952337|35458.2506538311|, 924246|3.06077792278574|28289.1175202303|
,,,
 Cuarto trimestre del 2012, 2456827|1.9545146303204|48019.0431566617|, 1523050|2.46506171306501|37544.1224208366|, 933777|2.91985999515179|27264.9810669286|
,,,
 Tercer trimestre del 2012, 2608598|1.83212872639523|47792.8733141715|, 1571265|2.30664762165622|36243.5467524166|, 1037333|2.84412648117233|29503.0625509394|
,,,
 Segundo trimestre del 2012, 2437097|1.9160520439688|46696.0468820023|, 1493620|2.36032231158044|35254.2461102278|, 943477|2.94059152114316|27743.8046659358|
,,,
 Primer trimestre del 2012, 2426676|1.89920240299337|46087.4889048635|, 1552766|2.36453420401812|36715.6831783641|, 873910|2.92689876062353|25578.4609589651|
,,,
 Cuarto trimestre del 2011, 2424585|1.94364725504468|47125.3797987251|, 1518931|2.40552440009762|36538.2558256468|, 905654|2.91092367124242|26362.8966655538|
,,,
 Tercer trimestre del 2011, 2734954|1.92072294710031|52530.8890706379|, 1651472|2.37658169859598|39248.5813094371|, 1083482|2.8799748260759|31204.0088450637|
,,,
 Segundo trimestre del 2011, 2549143|1.93152635983106|49237.3689947883|, 1597033|2.30198969713683|36763.5351198752|, 952110|3.10896163395911|29600.7346130881|
,,,
 Primer trimestre del 2011, 2462764|1.88144655776332|46335.5885038343|, 1599623|2.28201239405425|36503.5951181424|, 863141|2.97125396663559|25646.1112001581|
,,,
 Cuarto trimestre del 2010, 2523823|1.86951053433591|47183.1368529925|, 1672386|2.26923752323632|37950.4106453509|, 851437|3.02305269925518|25739.3892109573|
,,,
 Tercer trimestre del 2010, 2694395|1.83752689648532|49510.2328225558|, 1645244|2.30965800389411|37999.5097295876|, 1049151|2.75863077485029|28942.2023606496|
,,,
 Segundo trimestre del 2010, 2501640|1.82885565453874|45751.3845962031|, 1566651|2.27258280239879|35603.4411996086|, 934989|2.85842729224625|26725.9807555003|
,,,
 Primer trimestre del 2010, 2503613|1.88668412451087|47235.2690101902|, 1582018|2.31494135080183|36622.7888591281|, 921595|2.88639429542061|26600.8655068816|
,,,
 Cuarto trimestre del 2009, 2518112|1.9192957767588|48330.0172700566|, 1598813|2.36622049952848|37831.4409551263|, 919299|2.971548842442|27317.4187930809|
,,,
 Tercer trimestre del 2009, 2947287|1.75760598037632|51801.6925708537|, 1710043|2.26509928293545|38734.1717308878|, 1237244|2.57439836320452|31851.5892848462|
,,,
 Segundo trimestre del 2009, 2384320|1.91036993941333|45549.3325394198|, 1563208|2.29583824504343|35888.7271135786|, 821112|3.17715070764841|26087.965718586|
,,,
 Primer trimestre del 2009, 2309209|2.12211392309885|49004.0457024517|, 1459044|2.57724239805139|37603.1005742249|, 850165|3.02974606054313|25757.8405956165|
,,,
 Cuarto trimestre del 2008, 1924693|2.05011106288565|39458.3441195858|, 1228854|2.56475975777065|31517.1528737549|, 695839|3.152579962963|21936.8808884821|
,,,
 Tercer trimestre del 2008, 1902210|2.08248516988584|39613.2411500854|, 1147494|2.71210998269981|31121.2993248814|, 754716|2.96612752098157|22385.8389812513|
,,,
 Segundo trimestre del 2008, 1584043|2.38121708398227|37719.5025336252|, 923328|3.11136216092661|28728.0780132404|, 660715|3.47819250586404|22980.9396151196|
,,,
 Primer trimestre del 2008, 1772176|2.17462972509093|38538.2660769275|, 1074291|2.77674677966343|29830.3407467141|, 697885|3.2930089377867|22981.4154254727|
,,,
 Cuarto trimestre del 2007, 1594805|2.39751024179832|38235.6132117116|, 945817|2.99297799618464|28308.0946941736|, 648988|3.60089626858412|23369.3846755587|
,,,
 Tercer trimestre del 2007, 1729897|2.2000562256309|38058.7066455021|, 988155|2.78700367681745|27539.9161826554|, 741742|3.22377385836972|23912.0846925487|
,,,
 Segundo trimestre del 2007, 1489721|2.36846543105626|35283.5269041856|, 878430|2.92495157189287|25693.6520929785|, 611291|3.7009741645768|22623.7219803832|
,,,
 Primer trimestre del 2007, 1755167|2.13400776765517|37455.4001153202|, 1030975|2.63337384806797|27149.4260301187|, 724192|3.39855895235283|24612.092048223|
,,,
 Cuarto trimestre del 2006, 1605212|2.2463134551165|36058.0931391447|, 960558|2.88271297940984|27690.1301407596|, 644654|3.35231817786906|21610.85322636|
,,,
 Tercer trimestre del 2006, 1774900|2.11199861969612|37485.8635009864|, 1016593|2.68278635110423|27273.018250281|, 758307|3.12685559071288|23711.1648242671|
,,,
 Segundo trimestre del 2006, 1370261|2.30111617545418|31531.2975169402|, 807368|3.0799164599868|24866.2599246662|, 562893|3.40759028402369|19181.0871774495|
,,,
 Primer trimestre del 2006, 1530073|2.1577609941752|33015.3183764064|, 943144|2.69627257264987|25429.7329925929|, 586929|3.51118207598864|20608.1458467794|
,,,
 Cuarto trimestre del 2005, 1381816|2.42022695295849|33443.0832722929|, 825355|3.05888670181343|25246.6743377522|, 556461|3.57397249689926|19887.7630959706|
,,,
 Tercer trimestre del 2005, 1665306|2.21046082026225|36810.9366674765|, 962209|2.80332896536921|26973.8836043894|, 703097|3.22012926319129|22640.6322456201|
,,,
 Segundo trimestre del 2005, 1503565|2.23655158720472|33628.0068721546|, 933871|2.79579695465578|26109.1369784135|, 569694|3.51977741637942|20051.9607544686|
,,,
 Primer trimestre del 2005, 1658771|2.4138547687577|40040.3228862697|, 988785|3.00666125347145|29729.4154751377|, 669986|3.41633508366342|22888.9667736332|
