state_ut,stud_marks_mean,stud_marks_median,stud_marks_std,school_bwr,school_comp,school_med,school_digilib,school_water,school_elec,school_func_bwr,school_func_water,school_func_elec,school_func_gwr,school_gwr,school_wash,schoool_internet,school_kg,school_lib,school_play,school_ptr,school_rwhs,school_ramp,school_r&h,school_cwsn,school_solar,school_func_comp,bse_clients,ut_num_districts,ut_rolledout_districts,num_launched_eservices,eservices_per_district,ut_rolledout_districts%,total_population,pop_on_Aadhaar,pop_on_Aadhaar%
Andaman and Nicobar Islands,192.73756097560977,155.0,126.35431335657276,0.9951923076923076,0.4038461538461538,0.6706730769230769,0.0192307692307692,1.0,0.9278846153846154,0.9927884615384616,1.0,0.9278846153846154,0.9951923076923076,0.997596153846154,1.0,0.4495192307692308,0.5144230769230769,0.9951923076923076,0.9615384615384616,0.0336538461538461,0.2259615384615384,0.6274038461538461,0.3533653846153846,0.2307692307692307,0.03125,0.4014423076923077,44811,3.0,3.0,64.0,21.333333333333332,1.0,403000,387442,0.9613945409429281
Andhra Pradesh,260.9710240265639,224.0,174.31360790473704,0.8560566927100148,0.1169529282624136,0.8807548266287855,0.0502033963969781,0.9994672951507716,0.9882966358881644,0.8359753341512236,0.9911700135597598,0.979595790017434,0.9568831923548784,0.9664557370698004,0.984228707948602,0.5608574933815458,0.2773778007361012,0.9757215729321368,0.7937463679214826,0.0004197068509072,0.3473558468392845,0.5376444760121392,0.3591883515206302,0.1991347581842835,0.0562245754503777,0.1036191644605152,8135028,13.0,13.0,50.0,3.8461538461538463,1.0,53156000,51708514,0.9727690947400105
Arunachal Pradesh,162.91053844542216,129.0,116.65799484787627,0.919511518179295,0.0763252844851512,0.3594227033028032,0.0088814876491812,0.8190396891479322,0.6666666666666666,0.6724951429364419,0.6794338051623647,0.5378850957535387,0.6869275603663614,0.9122953094643352,0.4524007771301693,0.2203719122953094,0.2070496808215376,0.449902858728837,0.6822092700527338,0.0041631973355537,0.0494032750485706,0.2453510963086317,0.176797113516514,0.1043574798778795,0.0488481820704968,0.0729947266167083,87337,26.0,26.0,17.0,0.6538461538461539,1.0,1562000,1237756,0.7924174135723432
Assam,190.927082156814,137.0,154.36364477832598,0.8523636602638887,0.0465337912223335,0.58522157774528,0.0051594669646231,0.9387107905157824,0.7707487799668086,0.7649813503343794,0.9133571041259304,0.7506367176588508,0.8242002004633662,0.8833697563219902,0.8921277050230861,0.1170903235347278,0.5281716755122496,0.8736259222136413,0.784386861433806,0.0003450598925384,0.0548973857605284,0.6932088926863734,0.6156525739824841,0.1822902118010483,0.0306281733186545,0.0435597035771208,4474116,34.0,34.0,46.0,1.3529411764705883,1.0,35713000,30507919,0.8542524850894633
Bihar,188.58715158457426,133.0,158.6727471593428,0.9657274727633768,0.0205012612032415,0.1384747491010572,0.0103150324692749,0.9972736542693073,0.8875221381420061,0.9553158374926206,0.9926045188643804,0.8754789888906779,0.974571995921215,0.9825900284441582,0.863639778886921,0.1114259646863092,0.1954382010411635,0.6335104384693823,0.4984275210647775,0.0005044812966242,0.1539955992057103,0.7103418665807976,0.3751301454408844,0.1441850480330596,0.0825524606880266,0.0193634948746846,8939205,38.0,38.0,89.0,2.3421052631578947,1.0,126756000,108779039,0.858176646470384
Chandigarh,304.8832530461887,270.0,178.11243224570364,0.9871244635193132,0.8240343347639485,0.2746781115879828,0.1030042918454935,1.0,1.0,0.9871244635193132,1.0,1.0,0.9957081545064378,0.9957081545064378,1.0,0.9871244635193132,0.7553648068669528,0.9828326180257512,0.9527896995708156,0.1244635193133047,0.5236051502145923,0.8755364806866953,0.5407725321888412,0.7339055793991416,0.6781115879828327,0.8240343347639485,472323,1.0,1.0,22.0,22.0,1.0,1231000,1158593,0.9411803411860277
Chattisgarh,185.6360841753125,137.0,145.13982166699378,0.9642730747451868,0.0591201868629671,0.6537726500566251,0.0134838618346545,0.9997876557191392,0.9578850509626274,0.9196276896942244,0.9831363250283126,0.9140005662514156,0.9612825594563986,0.9777038505096264,0.98184456398641,0.3669132219705549,0.5447692525481314,0.9818976500566252,0.7915840883352209,0.000406993204983,0.3755485560588901,0.8348138448471121,0.6089149207248018,0.7299157701019252,0.036894818799547,0.0439729614949037,2521755,28.0,28.0,129.0,4.607142857142857,1.0,30180000,28132668,0.9321626242544732
Dadra & Nagar Haveli and Daman & Diu,205.70647773279353,167.0,139.92697509064425,0.991304347826087,0.3826086956521739,0.7695652173913043,0.0130434782608695,1.0,1.0,0.991304347826087,1.0,1.0,0.9891304347826086,0.9891304347826086,1.0,0.5739130434782609,0.7847826086956522,0.9869565217391304,0.9978260869565218,0.0652173913043478,0.7739130434782608,0.9282608695652174,0.8760869565217392,0.8565217391304348,0.1195652173913043,0.3826086956521739,131315,3.0,3.0,43.0,14.333333333333334,1.0,650880,599432,0.9209562438544739
Delhi,256.1294637453093,213.0,168.65839261935346,0.8499733048585157,0.4605801744082577,0.4119950169069229,0.0487631251112297,1.0,1.0,0.8499733048585157,1.0,1.0,0.8352019932372309,0.8352019932372309,1.0,1.0,0.3479266773447232,1.0,0.9647624132407902,0.0053390282968499,0.8974906567004806,1.0,1.0,1.0,0.2811888236340986,0.4605801744082577,9322249,11.0,11.0,87.0,7.909090909090909,1.0,21359000,22651593,1.0605174867737253
Goa,196.67180527383368,152.0,142.76423678184273,0.9920529801324504,0.2993377483443709,0.243046357615894,0.014569536423841,1.0,1.0,0.990728476821192,1.0,1.0,0.9920529801324504,0.9920529801324504,1.0,0.5821192052980132,0.2377483443708609,0.9973509933774836,0.8940397350993378,0.014569536423841,0.0304635761589403,0.6072847682119206,0.5503311258278145,0.0675496688741721,0.0185430463576158,0.2973509933774834,423163,2.0,2.0,114.0,57.0,1.0,1575000,1616077,1.0260806349206348
