state_ut,poverty_multi_rur_2015,poverty_multi_urb_2015,poverty_multi_tot_2015,poverty_multi_rur_2019,poverty_multi_urb_2019,poverty_multi_tot_2019,mgnrega_2019,mgnrega_2022,pmmvy_2019,pmmvy_2022,senior_help_2019,senior_help_2022,pension_nps_2019,pension_nps_2022,gini_rur_hh_2022,gini_urb_hh_2022,higher_ed_2019,higher_ed_2021,tus_rur_male_domestic_mins,tus_rur_female_domestic_mins,tus_rur_person_domestic_mins,tus_rur_male_caregiving_mins,tus_rur_female_caregiving_mins,tus_rur_person_caregiving_mins,tus_tot_male_domestic_mins,tus_tot_female_domestic_mins,tus_tot_person_domestic_mins,tus_tot_male_caregiving_mins,tus_tot_female_caregiving_mins,tus_tot_person_caregiving_mins,tus_urb_male_domestic_mins,tus_urb_female_domestic_mins,tus_urb_person_domestic_mins,tus_urb_male_caregiving_mins,tus_urb_female_caregiving_mins,tus_urb_person_caregiving_mins,fem_manage_ratio_2019,fem_manage_ratio_2022,cas_wage_male_2019,cas_wage_female_2019,cas_wage_person_2019,cas_wage_male_2022,cas_wage_female_2022,cas_wage_person_2022,agr_wage_male_2019,agr_wage_female_2019,agr_wage_person_2019,agr_wage_male_2022,agr_wage_female_2022,agr_wage_person_2022,bank_per_2019,bank_vil_bc_prop_2019,bank_per_2022,bank_vil_bc_prop_2022,atm_per_000_2019,atm_per_000_2022,Pop_2015,Pop_2019,Pop_2021,Pop_2022,acc_per_per_2019,acc_per_per_2022,msme_credit_amt_2019,msme_credit_amt_2022,msme_num_2020,msme_num_2022,wag_rur_mal_2019,wag_rur_mal_ratio_2019,wag_rur_fem_2019,wag_rur_fem_ratio_2019,wag_rur_tot_2019,wag_rur_tot_ratio_2019,wag_rur_mal_2022,wag_rur_mal_ratio_2022,wag_rur_fem_2022,wag_rur_fem_ratio_2022,wag_rur_rur_2022,wag_rur_rur_ratio_2022,wag_tot_mal_2019,wag_tot_mal_ratio_2019,wag_tot_fem_2019,wag_tot_fem_ratio_2019,wag_tot_tot_2019,wag_tot_tot_ratio_2019,wag_tot_mal_2022,wag_tot_mal_ratio_2022,wag_tot_fem_2022,wag_tot_fem_ratio_2022,wag_tot_tot_2022,wag_tot_tot_ratio_2022,wag_urb_mal_2019,wag_urb_mal_ratio_2019,wag_urb_fem_2019,wag_urb_fem_ratio_2019,wag_urb_tot_2019,wag_urb_tot_ratio_2019,wag_urb_mal_2022,wag_urb_mal_ratio_2022,wag_urb_fem_2022,wag_urb_fem_ratio_2022,wag_urb_urb_2022,wag_urb_urb_ratio_2022,unemp_rur_mal_2019,unemp_rur_fem_2019,unemp_rur_per_2019,unemp_urb_mal_2019,unemp_urb_fem_2019,unemp_urb_per_2019,unemp_tot_mal_2019,unemp_tot_fem_2019,unemp_tot_per_2019,unemp_rur_mal_2022,unemp_rur_fem_2022,unemp_rur_per_2022,unemp_urb_mal_2022,unemp_urb_fem_2022,unemp_urb_per_2022,unemp_tot_mal_2022,unemp_tot_fem_2022,unemp_tot_per_2022,lfpr_rur_mal_2022,lfpr_rur_fem_2022,lfpr_rur_per_2022,lfpr_urb_mal_2022,lfpr_urb_fem_2022,lfpr_urb_per_2022,lfpr_tot_mal_2022,lfpr_tot_fem_2022,lfpr_tot_per_2022,nfs_app_vol,shg_num_2019,shg_loans_2019,shg_num_2021,shg_loans_2021,digital_payment_per_capita,urb_pct_2011,urb_pct_2021,urb_pct_2031
Andhra Pradesh,14.72,4.63,11.77,7.71,2.2,6.06,7739531,9863737,96.4,72.27,21175,25850,869765,1103550,0.243,0.283,0.5216,0.567,16,239,131,10,41,26,16,237,130,10,41,26,15,233,128,10,42,26,0.323,0.213,371.75,222,314.5,550.25,322.5,464.75,331.5,214.5,274.75,467.25,305.25,376,84.4195,0.50355,131.8488,0.700489,21.09151,23.34822,51222,52386,52895,53079,2.049092,2.273489,57234.34,83162.34,65343,245591,46,1.495726,29,1.288462,40,1.567164,75,1.841693,55,1.540084,69,1.75,55,1.844512,35,2.25365,49,1.929224,81,2.045095,59,2.161458,74,2.017327,70,2.138554,51,2.515823,65,2.088542,89,2.411972,71,2.520221,85,2.467593,4.4,3,3.9,6.3,7.8,6.7,5,4.1,4.7,3.5,3,3.3,6,7.5,6.5,4.2,4,4.1,85.1,58.5,71.6,80.3,36.1,57.5,83.6,51.5,67.3,16.85,693019,20397.35,739334,39388.42,17.683,29.5,35.3,41.5
Arunachal Pradesh,29.2,8.08,24.23,15.14,5.9,13.76,190151,295822,92.76,81.3,0,0,32036,40501,0.28,0.277,0.3582,0.537,53,276,165,29,56,42,53,279,166,28,55,42,47,309,175,20,52,36,0.199,0.094,373.75,317.25,361.75,479.75,397,464,343,299.5,331,427.25,359,394.5,181.0721,0.901316,197.5563,0.898763,16.47915,18.19936,1452,1511,1540,1555,1.179871,1.441929,812.22,1091.709,726,6953,115,1.999309,65,1.50495,105,1.869565,124,2.427226,90,2.15534,116,1.9071,122,2.073643,85,1.809091,115,1.984501,127,2.675234,97,2.658416,121,2.378049,135,1.915236,122,2.143333,133,1.869469,137,2.53886,124,4.609524,134,2.548956,5.4,9.2,6.3,8.4,11.4,9,5.9,9.5,6.7,4.5,3.1,3.9,7.9,16.9,10.9,5,4.5,4.8,80,64.7,72.6,73.8,38.6,56.5,79,60.3,70,0.34,51,0.97,648,7.72,1.041,22.9,25.2,27.5
Assam,36.14,9.94,32.65,21.41,6.88,19.35,3218557,3846101,95.32,86.24,14825,15475,449202,535028,0.207,0.285,0.3091,0.401,64,339,203,21,64,43,63,339,202,21,64,43,55,337,193,18,61,39,0.069,0.073,317.25,238,306.5,448.25,269.25,436,286.75,208.25,262.75,363.75,260.5,333.5,76.43139,0.78918,102.5131,0.818822,11.37575,13.12793,33005,34512,35239,35573,1.43509,1.746158,20259.55,24120.24,17187,133461,55,2.107301,39,3.488372,51,2.230861,64,1.823347,47,1.746753,62,1.554622,60,2.642405,44,3.390152,57,2.649083,66,2.254098,51,2.234177,64,2.029289,91,1.770362,74,2.361842,87,1.642045,96,2.677273,85,3.275,94,2.64186,6.8,12.9,7.8,6.3,18.3,8.7,6.7,13.7,7.9,1.2,2.7,1.5,3.6,12.7,6.1,1.3,3.4,1.7,93.2,20,56.8,81.7,32.7,57.5,92.7,20.5,56.8,8.23,32710,358.11,106057,1869.97,1.764,14.1,15.3,16.5
Bihar,56,23.85,51.89,36.95,16.67,33.76,4878629,6804916,87.97,89.69,0,0,604197,772806,0.219,0.278,0.308,0.359,41,369,204,26,76,51,40,366,202,25,75,50,35,345,185,20,66,42,0.05,0.03,322,234,311.5,397,341.75,388.25,276,230.5,262.75,359.25,328.75,348,135.6307,0.31295,249.6964,0.737822,6.83068,7.683088,113336,120559,124154,125991,1.224404,1.386825,29784.55,40029.6,90291,323344,45,1.880952,35,2.34188,43,1.964286,56,1.659919,57,2.061798,56,1.651423,47,2.58216,39,2.634146,46,2.7,59,2.322835,61,3.122222,59,2.305777,68,2.855615,72,2.322034,69,2.721925,83,2.747396,109,4.666667,86,2.828947,5.4,0.5,4.8,8.1,12.4,8.6,5.7,1.7,5.3,4.4,1.2,3.6,7.3,9.7,7.7,4.6,1.6,3.9,78.1,24.8,51.5,72.9,13.8,44.8,77.6,23.9,50.9,13.92,441616,3730.62,565214,5945.81,1.934,11.3,12.1,12.9
Chattisgarh,35.73,10.17,29.9,19.71,4.59,16.37,5894148,5778908,94.98,93.6,25,50,558218,627734,0.266,0.313,0.543,0.681,31,254,142,14,36,25,29,253,140,14,37,25,21,248,133,11,40,26,0.233,0.134,211,136,185.25,252.75,183.5,228.25,157,123.5,134.25,178.5,152.25,164.75,175.4767,0.3438,267.2837,0.840828,12.41537,14.61531,27403,28948,29693,30037,1.506644,1.633888,23107.35,36423.07,33099,108557,44,2.318075,31,2.061404,40,2.308673,42,2.243789,30,1.782946,38,2.012987,56,2.396694,41,3.254573,51,2.439693,52,2.890212,37,3.035714,47,2.727901,77,2.191964,71,2.93125,76,2.196691,76,2.772177,59,3.15,71,2.767857,3.2,1.1,2.3,8.6,9.4,8.8,4.1,1.9,3.3,1.9,0.9,1.5,6.8,10.2,7.8,2.8,2,2.5,87.6,71.1,79.6,83.1,37,59.5,86.8,64.1,75.6,6.84,48056,468.42,77647,924.73,0.434,23.2,26.5,29.7
Goa,4.44,3.34,3.76,1.9,0.12,0.84,1787,3880,93.96,55.45,0,0,52068,66371,0.213,0.252,0.6855,0.737,44,233,147,18,57,40,45,239,143,23,57,41,45,244,141,26,58,41,0.185,0.118,560.75,451.5,492,724.25,448.5,650,499.5,482.25,484.25,585.75,433.6667,559.75,71.65049,0.245709,82.17696,0.400465,64.78964,66.07257,1507,1545,1563,1571,4.18647,4.390585,4802.98,6126.678,6059,15504,75,1.556886,64,1.189516,73,1.202065,106,1.900134,71,2.523438,96,1.820423,84,2.113565,83,2.276936,84,2.109873,110,2.28352,90,1.376975,104,2.124277,88,2.18551,88,2.508562,88,2.223127,112,2.5,100,1.389803,109,2.235714,5.7,12.5,7.6,7.1,11.6,8.4,6.6,11.9,8.1,8.7,17.7,11.3,7.1,12.7,8.7,7.7,14.7,9.7,79.7,31.5,54.4,84.4,36.5,61.2,82.6,34.4,58.5,1.54,915,25.91,712,26.66,5.886,62.2,73.7,83.8
Gujarat,27.25,6.49,18.47,17.15,3.81,11.66,1582684,2069406,92.83,75.34,1350,175,654702,836919,0.226,0.281,0.4315,0.482,21,276,146,12,40,26,20,291,150,11,41,25,18,308,154,9,42,24,0.155,0.162,238.25,191.75,223.5,341.5,239.25,309,197.5,185,193,243.25,210.25,230.5,64.52042,0.414703,88.00405,0.558054,17.68649,20.09445,64765,68476,70289,71149,1.674943,1.844295,128908.1,211808.8,248342,522294,37,1.878378,31,3.36,35,1.936416,48,2.131643,35,1.32381,45,1.908537,49,2.463768,40,3.480392,47,2.537879,58,2.383333,44,2.252825,55,2.278409,59,2.354911,54,2.986014,58,2.358597,67,2.354772,56,2.69403,65,2.338362,2,0.1,1.4,2.9,3.4,3,2.4,1.1,2,1.9,0.6,1.4,1.9,3.3,2.2,1.9,1.3,1.7,88.2,58.9,73.9,84.4,29.5,58.2,86.5,46.2,67,19.81,26322,223.23,31657,309.31,2.389,42.6,47.7,52.6
Haryana,14.61,7.52,11.88,8.41,4.26,7.07,459283,547406,97.24,86.4,975,925,415685,543627,0.234,0.332,0.6176,0.755,13,278,138,10,48,28,15,269,134,9,46,26,17,253,127,8,42,24,0.075,0.079,383.25,276.25,370,488.5,355.25,468.25,353.25,259.25,316.25,412.25,352.75,377.5,110.8344,0.309207,139.2841,0.600416,24.10405,24.16328,27280,28908,29695,30058,2.117554,2.507445,55912.05,97119.95,103159,236816,59,1.750871,55,2.520053,59,1.703737,69,1.897007,58,1.567708,68,1.78125,71,2.554745,82,2.987668,72,2.532649,80,2.413495,70,1.960526,79,2.280702,85,2.923004,98,3.045267,88,2.905405,91,2.73569,81,2.226131,89,2.560345,6.8,4.9,6.5,6,8.4,6.5,6.5,6.5,6.5,6.6,3,5.8,6.1,8.2,6.5,6.4,4.7,6.1,79,24,52.4,79.1,22.5,53.4,79,23.5,52.8,8.97,7754,79.98,18263,234.04,12.42,34.9,40.9,46.7
Himachal Pradesh,8.21,1.46,7.59,5.23,2.96,4.93,792928,957839,95.86,76.51,4850,25,140317,200110,0.288,0.311,0.8343,0.941,22,246,140,8,40,25,23,244,139,8,41,25,36,216,126,6,48,27,0.146,0.152,369.75,319,367.5,476.25,401.25,474.25,373.5,302.25,341.75,462,407.5,454.5,145.4483,0.714366,136.0928,0.77482,25.31732,30.47095,7134,7327,7415,7453,2.060635,2.398976,7968.07,13683.43,12877,47231,63,2.25365,45,2.367958,59,2.19,79,2.359776,65,1.802013,76,2.027592,64,2.476415,51,2.560241,61,2.373482,82,2.552589,74,2.772059,81,2.197987,68,3.80787,63,2.08476,66,3.273543,102,3.599806,103,3.421911,102,3.612805,4.4,2.3,3.4,4.1,9.7,5.9,4.4,2.8,3.7,3.3,3.8,3.5,6.3,30.6,15.1,3.5,5.3,4.4,86.9,80,83.4,80.2,47,63.6,86.2,76.6,81.3,2.71,5453,86.44,6564,125.84,2.684,10,10.3,10.5
Jharkhand,50.92,15.04,42.1,34.93,8.67,28.81,2185376,3036731,89.69,50.18,0,150,332561,406172,0.255,0.296,0.4079,0.464,30,326,179,26,46,36,30,321,176,23,44,33,30,301,163,11,36,24,0.133,0.128,275.75,214.75,268,373,313.5,365.75,150.75,133,141.5,272.25,215.6667,253.75,157.1709,0.440188,242.1738,0.909303,9.622166,10.58865,35566,37715,38762,39259,1.388816,1.541729,21360.57,29732.02,43145,142307,40,1.828947,35,2.248062,39,1.844262,62,2.510121,43,2.583333,60,2.365145,52,2.32684,45,4.603448,51,2.436636,74,3.129735,57,3.528169,72,3.011583,73,1.887982,64,3.936306,72,1.933535,108,2.941879,87,3.475,105,2.824675,4.5,0.4,3,9.6,9.5,9.6,5.6,1.3,4.2,1.5,0.1,0.9,6.2,6.6,6.3,2.3,0.6,1.7,84.5,56.7,70.1,75.3,18.7,47.3,82.7,49.5,65.7,5.5,76652,544.71,147010,1753.55,1.81,24,25.8,27.5
