State_Name,Count_3mo_Drought_2000_2022,Count_12mo_Drought_2000_2022,Count_24mo_Drought_2000_2022,Count_3mo_Flood_2000_2022,Count_12mo_Flood_2000_2022,Count_24mo_Flood_2000_2022
Andaman & Nicobar,5,1,9,13,15,3
Chandigarh,12,15,2,19,24,19
Daman and Diu and Dadra and Nagar Haveli,20,4,13,24,47,50
Delhi,24,23,33,19,13,8
Haryana,13,7,9,12,8,12
Jharkhand,7,4,14,9,2,0
Karnataka,2,2,22,11,15,27
Kerala,8,16,7,10,11,22
Lakshadweep,0,0,0,0,0,0
Madhya Pradesh,11,2,6,12,26,6
Maharashtra,7,2,21,9,14,15
Odisha,13,4,1,14,13,23
Puducherry,13,7,1,18,41,21
Tamilnadu,11,11,0,14,23,14
Chhattishgarh,11,3,2,10,11,11
Telengana,7,1,0,8,11,16
Andhra Pradesh,4,1,0,5,8,6
Goa,34,36,36,31,23,25
Himachal Pradesh,9,11,1,15,14,10
Punjab,10,12,2,21,15,12
Rajasthan,22,11,6,9,3,0
Gujarat,22,2,2,8,10,0
Uttarakhand,23,27,32,19,8,4
Uttar Pradesh,19,16,18,7,3,0
Sikkim,30,21,10,28,28,38
Assam,24,50,44,4,0,0
Arunachal Pradesh,23,28,14,10,2,0
Nagaland,38,60,49,3,0,0
Manipur,21,35,42,3,2,0
Mizoram,14,29,48,5,0,0
Tripura,20,44,57,8,3,0
Meghalaya,22,43,68,7,1,0
West Bengal,8,2,0,5,4,0
Bihar,10,17,14,3,0,0
Ladakh,1,0,0,7,12,6
Jammu and Kashmir,13,1,0,28,40,32
