states_name,period_of_kind_loan,amount_outstanding_as_of_survey_date,source_of_kind_loan_doctor lawyers and other professionals,source_of_kind_loan_input supplier,source_of_kind_loan_other,source_of_kind_loan_relatives & friends
Jammu and Kashmir,2.0,1000,0,0,0,1
Jammu and Kashmir,,1000,0,0,0,0
Jammu and Kashmir,2.0,3000,0,1,0,0
Jammu and Kashmir,,3000,0,0,0,0
Jammu and Kashmir,5.0,20000,0,0,0,1
Jammu and Kashmir,,20000,0,0,0,0
Jammu and Kashmir,2.0,9000,0,0,1,0
Jammu and Kashmir,,9000,0,0,0,0
Jammu and Kashmir,3.0,6000,1,0,0,0
Jammu and Kashmir,,6000,0,0,0,0
Jammu and Kashmir,5.0,14400,0,0,1,0
Jammu and Kashmir,,14400,0,0,0,0
Jammu and Kashmir,2.0,2250,0,0,1,0
Jammu and Kashmir,,2250,0,0,0,0
Jammu and Kashmir,2.0,2000,0,1,0,0
Jammu and Kashmir,,2000,0,0,0,0
Jammu and Kashmir,2.0,1000,0,1,0,0
Jammu and Kashmir,,1000,0,0,0,0
Jammu and Kashmir,1.0,1600,0,1,0,0
Jammu and Kashmir,,1600,0,0,0,0
Jammu and Kashmir,2.0,3500,0,0,1,0
Jammu and Kashmir,,3500,0,0,0,0
Jammu and Kashmir,3.0,100000,0,1,0,0
Jammu and Kashmir,,100000,0,0,0,0
Jammu and Kashmir,2.0,600,0,0,1,0
Jammu and Kashmir,,600,0,0,0,0
Jammu and Kashmir,2.0,600,0,0,1,0
Jammu and Kashmir,,600,0,0,0,0
Jammu and Kashmir,2.0,1200,0,0,1,0
Jammu and Kashmir,,1200,0,0,0,0
Jammu and Kashmir,2.0,1200,0,0,1,0
Jammu and Kashmir,,1200,0,0,0,0
Jammu and Kashmir,4.0,19000,0,0,1,0
Jammu and Kashmir,,19000,0,0,0,0
Jammu and Kashmir,2.0,20000,0,1,0,0
Jammu and Kashmir,,20000,0,0,0,0
Jammu and Kashmir,4.0,12000,0,1,0,0
Jammu and Kashmir,,12000,0,0,0,0
Jammu and Kashmir,2.0,3500,0,1,0,0
Jammu and Kashmir,3.0,20000,0,1,0,0
Jammu and Kashmir,,23500,0,0,0,0
Jammu and Kashmir,1.0,400,0,0,1,0
Jammu and Kashmir,,400,0,0,0,0
Jammu and Kashmir,1.0,600,0,0,1,0
Jammu and Kashmir,,600,0,0,0,0
Jammu and Kashmir,2.0,1000,0,0,1,0
Jammu and Kashmir,,1000,0,0,0,0
Jammu and Kashmir,2.0,1200,0,0,1,0
Jammu and Kashmir,,1200,0,0,0,0
Jammu and Kashmir,2.0,6000,0,0,1,0
Jammu and Kashmir,,6000,0,0,0,0
Jammu and Kashmir,3.0,2800,0,0,1,0
Jammu and Kashmir,,2800,0,0,0,0
Jammu and Kashmir,3.0,2100,0,0,1,0
Jammu and Kashmir,,2100,0,0,0,0
Jammu and Kashmir,3.0,1500,0,0,1,0
Jammu and Kashmir,,1500,0,0,0,0
Jammu and Kashmir,3.0,1500,0,0,1,0
Jammu and Kashmir,2.0,1000,0,0,1,0
Jammu and Kashmir,,2500,0,0,0,0
Jammu and Kashmir,3.0,2700,0,0,1,0
Jammu and Kashmir,3.0,1500,0,0,1,0
Jammu and Kashmir,,4200,0,0,0,0
Jammu and Kashmir,2.0,1500,0,0,1,0
Jammu and Kashmir,,1500,0,0,0,0
Jammu and Kashmir,2.0,1655,0,0,1,0
Jammu and Kashmir,,1655,0,0,0,0
Jammu and Kashmir,2.0,1250,0,0,1,0
Jammu and Kashmir,,1250,0,0,0,0
Jammu and Kashmir,2.0,1850,0,0,1,0
Jammu and Kashmir,,1850,0,0,0,0
Jammu and Kashmir,2.0,2600,0,0,1,0
Jammu and Kashmir,,2600,0,0,0,0
Jammu and Kashmir,2.0,1500,0,0,1,0
Jammu and Kashmir,,1500,0,0,0,0
Jammu and Kashmir,3.0,2950,0,0,1,0
Jammu and Kashmir,,2950,0,0,0,0
Jammu and Kashmir,3.0,1800,0,0,1,0
Jammu and Kashmir,,1800,0,0,0,0
Jammu and Kashmir,3.0,2200,0,0,1,0
Jammu and Kashmir,,2200,0,0,0,0
Jammu and Kashmir,2.0,2400,0,0,1,0
Jammu and Kashmir,,2400,0,0,0,0
Jammu and Kashmir,3.0,10000,0,1,0,0
Jammu and Kashmir,2.0,350,0,0,1,0
Jammu and Kashmir,,10350,0,0,0,0
Jammu and Kashmir,4.0,35000,0,1,0,0
Jammu and Kashmir,2.0,1000,0,0,1,0
Jammu and Kashmir,,36000,0,0,0,0
Jammu and Kashmir,4.0,50000,0,1,0,0
Jammu and Kashmir,3.0,1400,0,0,1,0
Jammu and Kashmir,,51400,0,0,0,0
Jammu and Kashmir,4.0,15000,0,1,0,0
Jammu and Kashmir,,15000,0,0,0,0
Jammu and Kashmir,4.0,20000,0,1,0,0
Jammu and Kashmir,,20000,0,0,0,0
Jammu and Kashmir,2.0,1500,0,0,1,0
Jammu and Kashmir,,1500,0,0,0,0
Jammu and Kashmir,3.0,1050,0,0,1,0
Jammu and Kashmir,,1050,0,0,0,0
Jammu and Kashmir,2.0,1800,0,0,1,0
Jammu and Kashmir,,1800,0,0,0,0
Jammu and Kashmir,5.0,6500,0,0,1,0
Jammu and Kashmir,,6500,0,0,0,0
Jammu and Kashmir,2.0,2100,0,0,1,0
Jammu and Kashmir,,2100,0,0,0,0
Jammu and Kashmir,3.0,1650,0,0,1,0
Jammu and Kashmir,,1650,0,0,0,0
Jammu and Kashmir,2.0,2400,0,0,1,0
Jammu and Kashmir,,2400,0,0,0,0
Jammu and Kashmir,2.0,1100,0,0,1,0
Jammu and Kashmir,,1100,0,0,0,0
Jammu and Kashmir,2.0,1400,0,0,1,0
Jammu and Kashmir,,1400,0,0,0,0
Jammu and Kashmir,4.0,7500,0,0,1,0
Jammu and Kashmir,,7500,0,0,0,0
Jammu and Kashmir,3.0,2250,0,0,1,0
Jammu and Kashmir,,2250,0,0,0,0
Jammu and Kashmir,3.0,4200,0,0,1,0
Jammu and Kashmir,,4200,0,0,0,0
Jammu and Kashmir,2.0,1550,0,0,1,0
Jammu and Kashmir,,1550,0,0,0,0
Jammu and Kashmir,4.0,3000,0,0,1,0
Jammu and Kashmir,,3000,0,0,0,0
Jammu and Kashmir,2.0,2200,0,0,1,0
Jammu and Kashmir,,2200,0,0,0,0
Jammu and Kashmir,4.0,6000,0,0,1,0
Jammu and Kashmir,,6000,0,0,0,0
Jammu and Kashmir,3.0,3000,0,1,0,0
Jammu and Kashmir,,3000,0,0,0,0
Jammu and Kashmir,2.0,1500,0,1,0,0
Jammu and Kashmir,,1500,0,0,0,0
Jammu and Kashmir,2.0,1200,0,1,0,0
Jammu and Kashmir,2.0,543,0,0,1,0
Jammu and Kashmir,,1743,0,0,0,0
Jammu and Kashmir,3.0,15000,0,1,0,0
Jammu and Kashmir,3.0,350,0,0,1,0
Jammu and Kashmir,,15350,0,0,0,0
Jammu and Kashmir,2.0,2500,0,1,0,0
Jammu and Kashmir,,2500,0,0,0,0
Jammu and Kashmir,4.0,30000,0,1,0,0
Jammu and Kashmir,,30000,0,0,0,0
Jammu and Kashmir,2.0,1300,0,1,0,0
Jammu and Kashmir,,1300,0,0,0,0
Jammu and Kashmir,5.0,840,0,0,1,0
Jammu and Kashmir,,840,0,0,0,0
Jammu and Kashmir,2.0,1600,0,1,0,0
Jammu and Kashmir,,1600,0,0,0,0
Jammu and Kashmir,2.0,3200,0,1,0,0
Jammu and Kashmir,,3200,0,0,0,0
Jammu and Kashmir,5.0,7440,0,0,1,0
Jammu and Kashmir,2.0,543,0,0,1,0
Jammu and Kashmir,,7983,0,0,0,0
Jammu and Kashmir,2.0,1300,0,1,0,0
Jammu and Kashmir,,1300,0,0,0,0
Jammu and Kashmir,2.0,3000,0,0,1,0
Jammu and Kashmir,,3000,0,0,0,0
Jammu and Kashmir,4.0,15000,0,0,1,0
Jammu and Kashmir,3.0,1850,0,0,1,0
Jammu and Kashmir,,16850,0,0,0,0
Jammu and Kashmir,2.0,3600,0,0,1,0
Jammu and Kashmir,,3600,0,0,0,0
Jammu and Kashmir,2.0,2500,0,0,1,0
Jammu and Kashmir,,2500,0,0,0,0
Jammu and Kashmir,2.0,1500,0,0,1,0
Jammu and Kashmir,,1500,0,0,0,0
Jammu and Kashmir,2.0,3000,0,0,1,0
Jammu and Kashmir,2.0,760,0,0,1,0
Jammu and Kashmir,,3760,0,0,0,0
Jammu and Kashmir,4.0,8000,0,1,0,0
Jammu and Kashmir,5.0,16000,0,0,1,0
Jammu and Kashmir,,24000,0,0,0,0
Jammu and Kashmir,5.0,60000,0,0,1,0
Jammu and Kashmir,3.0,1400,0,0,1,0
Jammu and Kashmir,,61400,0,0,0,0
Jammu and Kashmir,5.0,34060,0,0,1,0
Jammu and Kashmir,,34060,0,0,0,0
Jammu and Kashmir,4.0,5000,0,0,1,0
Jammu and Kashmir,,5000,0,0,0,0
Jammu and Kashmir,5.0,100000,0,1,0,0
Jammu and Kashmir,,100000,0,0,0,0
Jammu and Kashmir,4.0,40000,0,1,0,0
Jammu and Kashmir,4.0,54000,0,1,0,0
Jammu and Kashmir,,94000,0,0,0,0
Jammu and Kashmir,3.0,2150,0,0,1,0
Jammu and Kashmir,,2150,0,0,0,0
Jammu and Kashmir,5.0,20000,0,0,1,0
Jammu and Kashmir,,20000,0,0,0,0
Jammu and Kashmir,4.0,30000,0,1,0,0
Jammu and Kashmir,,30000,0,0,0,0
Jammu and Kashmir,3.0,2000,0,1,0,0
Jammu and Kashmir,,2000,0,0,0,0
Jammu and Kashmir,4.0,2400,0,0,1,0
Jammu and Kashmir,,2400,0,0,0,0
Jammu and Kashmir,4.0,2200,0,0,1,0
Jammu and Kashmir,,2200,0,0,0,0
Jammu and Kashmir,5.0,4000,0,0,1,0
Jammu and Kashmir,,4000,0,0,0,0
Jammu and Kashmir,1.0,500,0,1,0,0
Jammu and Kashmir,,500,0,0,0,0
Jammu and Kashmir,2.0,4000,0,0,1,0
Jammu and Kashmir,,4000,0,0,0,0
Jammu and Kashmir,2.0,2000,0,1,0,0
Jammu and Kashmir,,2000,0,0,0,0
Jammu and Kashmir,2.0,1500,0,0,1,0
Jammu and Kashmir,,1500,0,0,0,0
Jammu and Kashmir,2.0,1800,0,0,1,0
Jammu and Kashmir,,1800,0,0,0,0
Jammu and Kashmir,2.0,2500,0,0,1,0
Jammu and Kashmir,,2500,0,0,0,0
Jammu and Kashmir,2.0,1400,0,0,1,0
Jammu and Kashmir,,1400,0,0,0,0
Jammu and Kashmir,2.0,1450,0,0,1,0
Jammu and Kashmir,,1450,0,0,0,0
Jammu and Kashmir,3.0,2150,0,0,1,0
Jammu and Kashmir,,2150,0,0,0,0
Jammu and Kashmir,1.0,1000,0,1,0,0
Jammu and Kashmir,,1000,0,0,0,0
Jammu and Kashmir,2.0,2000,0,1,0,0
Jammu and Kashmir,,2000,0,0,0,0
Jammu and Kashmir,2.0,15000,0,0,0,1
Jammu and Kashmir,,15000,0,0,0,0
Jammu and Kashmir,2.0,12000,0,0,0,1
Jammu and Kashmir,,12000,0,0,0,0
Jammu and Kashmir,2.0,4000,0,0,0,1
Jammu and Kashmir,,4000,0,0,0,0
Jammu and Kashmir,3.0,6000,0,0,0,1
Jammu and Kashmir,,6000,0,0,0,0
Jammu and Kashmir,1.0,4000,0,0,0,1
Jammu and Kashmir,,4000,0,0,0,0
Jammu and Kashmir,2.0,5000,0,1,0,0
Jammu and Kashmir,,5000,0,0,0,0
Jammu and Kashmir,2.0,6000,0,0,1,0
Jammu and Kashmir,,6000,0,0,0,0
Jammu and Kashmir,2.0,12000,0,1,0,0
Jammu and Kashmir,,12000,0,0,0,0
Jammu and Kashmir,2.0,1500,0,0,1,0
Jammu and Kashmir,,1500,0,0,0,0
Jammu and Kashmir,3.0,250,0,0,1,0
Jammu and Kashmir,,250,0,0,0,0
Jammu and Kashmir,3.0,7500,0,0,1,0
