state_name,highest_educ,owns__land,owns__agr_land,has__credit_debit_card,used__credit_debite_card__365d,has__ewallet,used__ewallet__365d,has__deps_acct_commerc,has__deps_acct_post_office,has__deps_acct_nonbanking_financialco,has__deps_acct_noninst_agency,reg_loan_Value_date_of_survey,reg_loan_Value_acquistion,reg_loan_Value_disposal,reg_loan_Value_all_above,reg_loan_year_borrowed_loan,reg_loan_amount_borrowed_loan,reg_loan_tenure_of_loan,reg_loan_annual_rate_of_interest,reg_loan_amount_outstanding_including_interest_as_on_date_of_survey,kind_loan_period,kind_loan_amount_outstanding_as_of_survey_date,kind_loan_source__docs_lawyers_professionals,kind_loan_source__inputsuppliers,kind_loan_source__other,kind_loan_source__family&friends
Andaman and Nicobar Islands,4.433547204399633,0.12557286892758937,0.3795620437956204,0.6823104693140795,0.9435626102292769,0.02286401925391095,0.8421052631578947,0.8982584784601283,0.021998166819431713,0.0,0.0,256750.0,28350.0,0.0,242575.0,2016.4493670886077,431033.67003367003,2.632911392405063,10.128354430379746,300286.1554054054,2.3333333333333335,86733.33333333333,0.0,0.08333333333333333,0.3333333333333333,0.08333333333333333
Andhra Pradesh,3.5307968604496476,0.2522282825595317,0.4092827004219409,0.44383416017009214,0.7728542914171657,0.08637491141034727,0.9641025641025641,0.716110150325928,0.05268059066116802,0.001995476918983637,0.004988692297459092,576308.8950749465,423114.74860335194,10439.416058394161,341288.40692640695,2017.5328783304897,156249.690816881,2.091064164807768,18.957285133184623,149889.7616570855,2.1136363636363638,16283.95321637427,0.005847953216374269,0.347953216374269,0.13450292397660818,0.02631578947368421
Arunachal Pradesh,4.064573110893033,0.25142296368989203,0.7392661982825918,0.5105996365838885,0.9466192170818505,0.03331314354936402,0.9818181818181818,0.6274779195289499,0.04946025515210991,0.001962708537782139,0.011187438665358195,96000.0,6625.0,0.0,93350.0,2017.495682210708,121387.33273862622,1.994818652849741,6.033937823834197,62719.705765407554,3.1219512195121952,27446.341463414636,0.0,0.04878048780487805,0.0975609756097561,0.35365853658536583
Assam,3.7326448651749855,0.21903486963727928,0.5625727590221188,0.47373323397913564,0.8257963035784507,0.03977272727272727,0.8758782201405152,0.586536622681201,0.020144068336839422,0.004398546567221266,0.000828711672085166,45000.0,24000.0,,21000.0,2017.7379166666667,130344.62354235424,2.0304166666666665,13.323870833333334,110030.7067200712,2.125,5121.595744680851,0.0,0.2553191489361702,0.0425531914893617,0.2127659574468085
Bihar,3.2186232568476028,0.20289452484791246,0.507803943044907,0.28716277385478906,0.7772698612862547,0.044450479811696544,0.9338085539714868,0.5946276285452373,0.011055862662851745,0.0011389205255701548,0.001444484569015806,380253.275,70003.125,41379.31034482759,354250.775,2017.2305772749958,79426.20349702382,2.196841230257689,18.783893599334995,71339.52389014297,1.9155405405405406,4809.379661016949,0.01694915254237288,0.15338983050847457,0.16186440677966102,0.1694915254237288
Chandigarh,5.210810810810811,0.1662162162162162,0.36585365853658536,0.7046332046332047,0.8931506849315068,0.2471042471042471,0.9609375,0.7972972972972973,0.07162162162162163,0.0,0.0,326153.3333333333,53250.0,41739.13043478261,315553.3333333333,2016.7,878408.2009132421,2.3666666666666667,10.0875,1031867.4885844749,,,,,,
Chattisgarh,3.5926333700330297,0.2174957461715544,0.6295444086516336,0.4258289703315881,0.6588114754098361,0.040430482838859805,0.9460431654676259,0.7424682213992594,0.020518466619957963,0.001201080972875588,0.0035031528375537983,206705.88235294117,59000.0,,192823.5294117647,2017.534098151689,162619.59163763066,2.0923566878980893,8.18967515923567,120166.35310635311,2.3457943925233646,10205.881773399014,0.019704433497536946,0.37438423645320196,0.11330049261083744,0.019704433497536946
Dadra & Nagar Haveli and Daman & Diu,3.814060446780552,0.16294349540078842,0.45564516129032256,0.567191844300278,0.9150326797385621,0.11214087117701575,0.9917355371900827,0.8212877792378449,0.022339027595269383,0.000657030223390276,0.000657030223390276,185590.52813852814,8540.157142857142,3688.130081300813,188921.21076233184,2017.1677215189873,307457.5365418895,2.4525316455696204,9.52117088607595,279109.1055456172,2.2666666666666666,4683.333333333333,0.23333333333333334,0.06666666666666667,0.13333333333333333,0.06666666666666667
Delhi,5.132674664784757,0.157939308398024,0.13047363717605004,0.5979260418704755,0.9332460732984293,0.26002739189982393,0.9902182091798345,0.7367678193366267,0.011009174311926606,0.0011291460832745237,0.001834862385321101,348260.0,38600.0,0.0,328960.0,2017.4025423728813,457778.4162283997,2.1596045197740112,12.642118644067798,451232.269984917,1.5217391304347827,5154.744525547445,0.0,0.12408759124087591,0.32116788321167883,0.058394160583941604
Goa,4.682672233820459,0.21294363256784968,0.3480392156862745,0.5614754098360656,0.8807785888077859,0.1325136612021858,0.9175257731958762,0.7797494780793319,0.054279749478079335,0.0020876826722338203,0.0,15676.85254691689,6273.513513513513,6242.477876106194,15701.088471849866,2016.6717948717949,530557.6119402985,2.471794871794872,9.586410256410256,520155.44311377243,3.0,10000.0,0.0,0.0,0.0,0.5
Gujarat,3.926489680798675,0.20426160526433593,0.4990138067061144,0.3743703157636073,0.8142435182146374,0.09528197567268706,0.9516441005802708,0.7150275303281257,0.03375262992971932,0.000850530462419983,0.0008952952235999821,53234.567901234564,11295.774647887323,1562.5,44567.9012345679,2017.2241245136188,350225.0581428985,2.3137966804979255,9.563615145228216,303908.67915214866,2.2230483271375463,8263.121495327103,0.022429906542056073,0.23177570093457944,0.17009345794392525,0.07850467289719626
Haryana,4.203386473908307,0.2118031488266165,0.46984572230014027,0.4237216509367517,0.875,0.11719960557825046,0.9471153846153846,0.7185859986137242,0.030795128230517874,0.0019803940984255866,0.0013862758688979106,68746.74285714286,22947.41935483871,2666.6666666666665,49793.31428571429,2017.2529321774605,386840.18880484113,2.086180520142784,11.865563488016317,319360.74098961515,2.08,6316.0,0.0,0.42,0.05,0.03
Himachal Pradesh,4.633944263118252,0.25433090635199596,0.8114511352418559,0.49485220856858186,0.8422818791946308,0.10594486881434739,0.9686520376175548,0.8358021591765001,0.1757469244288225,0.001506402209389907,0.0010042681395932714,49033.333333333336,28909.636363636364,23909.090909090908,45366.26666666667,2016.5641344956414,405824.72855133616,2.5330012453300124,7.612154420921545,312913.6718309859,2.873015873015873,31150.4,0.008,0.144,0.224,0.128
Jammu and Kashmir,3.9819074696303955,0.21181183768415612,0.7022574740695546,0.4767900770531855,0.8742609381158849,0.07009960533734261,0.9463806970509383,0.798526751098475,0.02054794520547945,0.0,0.0012923235978288964,,,,,2017.0266990291261,221098.22968679073,2.574433656957929,5.536844660194174,158815.64207650273,2.5587188612099645,17654.029795158287,0.00931098696461825,0.23277467411545624,0.25139664804469275,0.0297951582867784
Jharkhand,3.4830948262305395,0.20183991193583897,0.6809505259057266,0.3238573704202916,0.7623912220961029,0.05440509741453253,0.8648648648648649,0.6948419562824344,0.025790218587828276,0.006054411070923101,0.00290926246265136,162928.09174311926,33802.098360655735,3666.769230769231,148039.60747663552,2017.013698630137,111305.83386411889,2.256495040151157,14.169414265470005,99140.14034151548,2.83859649122807,5133.125925925926,0.022222222222222223,0.17592592592592593,0.24444444444444444,0.08518518518518518
Karnataka,4.124127881303542,0.20365627483882362,0.5366435385949696,0.4866603706764254,0.8964220739842329,0.11433124778656593,0.963345379452762,0.798684094321293,0.057096175925108184,0.0027819482469310253,0.0027377903382495806,353115.3846153846,30000.0,0.0,330038.46153846156,2017.1129842180774,259787.08370798544,2.3108641089996413,11.834741842954465,215778.65495310983,1.8020833333333333,11574.0,0.0035587188612099642,0.22241992882562278,0.09074733096085409,0.19572953736654805
Kerala,4.732059252436872,0.31506639035996625,0.5371498172959805,0.6084810636583401,0.8422446614798874,0.07181708299758259,0.9495091164095372,0.7835597513239696,0.07345153119963159,0.010131245682707806,0.021874280451300944,,,,,2017.2246105919003,291189.69940278697,2.1512225510045164,9.65236411773867,249065.1971893821,2.5449101796407185,41674.66881028939,0.012861736334405145,0.18971061093247588,0.2572347266881029,0.07717041800643087
Lakshadweep Islands,4.656760772659733,0.20208023774145617,0.3161764705882353,0.7991803278688525,0.9153846153846154,0.06557377049180328,0.875,0.7756315007429421,0.014858841010401188,0.005943536404160475,0.005943536404160475,3199750.0,67000.0,10000.0,4223333.333333333,2016.0,302384.2105263158,2.811320754716981,8.44811320754717,191368.44919786096,,,,,,
Madhya Pradesh,3.501853276452899,0.2094828490506661,0.6236020697713236,0.28259975318798847,0.7963973799126638,0.04900246812011518,0.9359916054564533,0.6892898353089268,0.016993601174866254,0.0008042239239134236,0.0008391901814748768,90062.77777777778,19637.058823529413,20333.333333333332,81683.33333333333,2017.1178420180445,193021.12740899358,2.1434358313386115,15.08436199594918,173883.46305259762,2.911032028469751,16835.532763532763,0.012345679012345678,0.21557454890788225,0.23741690408357075,0.06837606837606838
Maharashtra,4.413815605481496,0.23834716136850936,0.5067957367752028,0.4396873724850121,0.8462307252998287,0.11974638249788129,0.9559633027522936,0.7144821478512166,0.03530810105341661,0.0022373450172462014,0.0030763493987135265,,,,,2016.8227477477478,406062.8907749559,2.329317721233956,10.866139383021842,424833.6321355843,2.735135135135135,15620.388312912346,0.03770028275212064,0.2412818096135721,0.177191328934967,0.06691800188501414
Manipur,4.700818926296633,0.22584167424931756,0.5040290088638195,0.5078919208132692,0.9188833289439031,0.02086677367576244,0.7756410256410257,0.5070063694267516,0.001637852593266606,0.00018198362147406734,0.03357597816196543,112240.0,12500.0,21666.666666666668,115240.0,2017.634628975265,115171.88043478261,2.091872791519435,25.73790106007067,92511.54917127072,2.9,5230.7692307692305,0.10256410256410256,0.07692307692307693,0.0,0.3333333333333333
Meghalaya,4.026566339066339,0.19548525798525798,0.655145326001571,0.568063476320357,0.749890877346137,0.02206793949913216,0.8539325842696629,0.5193488943488943,0.00906019656019656,0.0003071253071253071,0.0003071253071253071,,,,,2017.7052785923754,105152.7067669173,1.7624633431085044,6.66183284457478,82749.94740912606,1.0,2000.0,0.0,0.0,0.0,0.5
Mizoram,4.432404891304348,0.19052470708099847,0.47237076648841353,0.5365545155578042,0.9495520980669495,0.053377181887174295,0.9146919431279621,0.6379690949227373,0.005264051621667516,0.0010188487009679063,0.00033961623365596876,,,,,2016.9297218155198,309302.73871206515,2.49194729136164,7.776163982430454,231507.07404637247,1.8969072164948453,7872.886597938144,0.14948453608247422,0.04639175257731959,0.15463917525773196,0.14948453608247422
Nagaland,4.111676418214195,0.2276774357669804,0.617877094972067,0.6005403319181783,0.9158097686375322,0.09996140486298727,0.915057915057915,0.5011447468837446,0.006868481302467566,0.002035105571101501,0.007886034088018317,51587.307692307695,1454.5454545454545,571.4285714285714,50818.07692307692,2017.7464212678938,127808.316008316,1.9979550102249488,5.514314928425358,97125.12307692308,3.2857142857142856,12242.857142857143,0.0,0.0,0.0,0.5
Odisha,3.5127080376725583,0.21306928138304734,0.6382076899788072,0.40155858115370835,0.8119562792772697,0.03529201003224651,0.9010152284263959,0.7166172106824926,0.04451038575667656,0.00528964004644562,0.003999483937556445,85008.88,27604.166666666668,0.0,58508.88,2017.2472487160676,80864.90713443396,2.1019809244314014,16.68434091464906,81237.61119336689,2.676384839650146,7441.88906009245,0.010015408320493066,0.15408320493066255,0.33281972265023113,0.031587057010785825
Pondicherry,4.816487455197133,0.1956989247311828,0.14285714285714285,0.6715257531584062,0.9377713458755427,0.13313896987366375,0.9416058394160584,0.7792114695340502,0.03512544802867384,0.01935483870967742,0.0064516129032258064,25369.74603174603,10411.57142857143,3225.423728813559,22090.894568690095,2017.4842615012108,194438.28483920367,2.2687651331719128,15.38995157384988,164174.5499231951,1.5714285714285714,12289.464285714286,0.0,0.41964285714285715,0.008928571428571428,0.07142857142857142
